year,client,description,location
2012,PT. MITRA AGUNG SWADAYA,Pembangunan PKS kap. 30 TPH,Riau
2011,PT. BINA SAWIT ABADI PRATAMA,"Pembangunan CPO Tank 5,000MT di Bulking Station",Kalimantan Tengah
2011,PT. TRI BAHTERA SRIKANDI,Vertical Sterilizer c/w Auto Control System,Kalimantan Timur
2011,PT. UMBUL MAS WISESA,Pembuatan 4 unit Vertical Sterilizer dan Water Intake,Sumatera Utara
2011,PT. BAKRIE PASAMAN PLANTATIONS,Pembangunan New Complete Kernel Crushing Plant kap. 50-100 TPD,Sumatera Barat
2011,PT. DOMAS AGRO INTI PERKASA,"Sipil, Mekanikal, dan Elektrikal",Sumatera Utara
2011,PT. IVOMAS TUNGGAL,Mekanikal dan Elektrikal Boiler,Riau
2011,PT. SAGO NAULI,Extension Line 1 - Horizontal Sterilizer,Sumatera Utara
2011,PT. MULTRADA MULTI MAJU,Pembangunan PKS kap. 60 TPH dan Pembuatan 4 unit Oblique Sterilizer,Sumatera Selatan
2011,PT. PERKEBUNAN MINANGA OGAN,Penggantian Peralatan Mekanikal Stasiun Sterilizer,Sumatera Selatan
2010,PT. MITRA PUDING MAS,"Pembuatan CPO Storage Tank No. 5 kap. 2,700T, Kernel Unloading",Bengkulu
2010,PT. ADHYAKSA DHARMASATYA,"Pembangunan PKS kap. 30/45 TPH, Pembuatan 2 unit Oblique Sterilizer",Kalimantan Tengah
2010,PT. KIMIA TIRTA UTAMA,Pembangunan Kernel Crushing Plant kap. 60TPH dan Pembuatan Lahan Composting,Riau
2010,PT. EKA DURA INDONESIA,"Pembuatan 1 unit CPO Tank kap. 3,500T dan 1 unit PKO Tank kap. 2,000T",Riau
2010,PT. UNITED KINGDOM INDONESIA PLANTATIONS,Extension kap. PKS menjadi 40 TPH,Sumatera Utara
2010,PT. KARYA TANAH SUBUR,"Pembuatan 1 unit Storage Tank kap. 2,000T",Aceh
2010,PT. SIME DARBY PLANTATION Sdn. Bhd.,Pembuatan 8 unit Oblique Sterilizer,Sarawak
2010,PT. MUSTIKA AGUNG SAWIT SEJAHTERA,Pembangunan PKS kap. 30 TPH,Riau
2010,PT. BHUMIREKSA NUSA SEJATI,Pembuatan 5 unit Oblique Sterilizer,Riau
2010,PT. CIPTA USAHA SEJATI,Pembangunan PKS kap. 30/60 TPH,Kalimantan Barat
2010,"PT. PP. LONSUM SUMATRA INDONESIA, Tbk.",Extension kap. PKS menjadi 45 TPH,Sumatera Utara
2010,PT. TRI BAHTERA SRIKANDI,Pembangunan Bunch Reception dan Sterilizer Station,Sumatera Utara
2010,PT. PERKEBUNAN LEMBAH BHAKTI,"Pembuatan Storage Tank kap. 2,000T",Aceh
2010,PT. KIMIA TIRTA UTAMA,Extension kap. PKS dari 20 TPH ke 40 TPH,Bengkulu
2009,"PT. SMART, Tbk.","Pembangunan Kernel Storage Bin 1,000T",Sumatera Utara
2009,PT. SAPTA SENTOSA JAYA ABADI,Suplai dan Fabrikasi Mesin,Bengkulu
2009,PT. SARI LEMBAH SUBUR,"Pemasangan 3 unit Liner Sterilizer dia. 2,700mm",Riau
2009,PT. SARI ADITYA LOKA,"Pemasangan 4 unit pintu Sterilizer dia. 2,700mm",Jambi
2009,PT. GRAHA DURA LEIDONG PRIMA,"Pembuatan FFB Conveyor, Sterilizer Conveyor, dan Oblique Sterilizer",Sumatera Utara
2009,PT. SAGO NAULI,Pembuatan Vertical Sterilizer,Sumatera Utara
2008,PT. WIJAYA KARYA,Extension Mekanikal kap. PKS dari 30 TPH ke 60 TPH,Banten
2008,PT. ALNO AGRO UTAMA,Earthwork,Bengkulu
2008,PT. ALNO AGRO UTAMA,Pembangunan PKS kap. 45 TPH dan Pembuatan Vertical Sterilizer,Bengkulu
2008,PT. SARI ADITYA LOKA,"Pembangunan Kernel Crushing Plant kap. 100T, Screw Conveyor c/w Structure & Platform, Piping",Jambi
2008,"PT. ASTRA AGRO LESTARI, Tbk.","Pembangunan Gudang Pupuk kap. 800T dan 1,800T",Aceh
2008,PT. WIJAYA KARYA,Extension Mekanikal PKS,Riau
2008,PT. SAGO NAULI,Mekanikal PKS,Sumatera Utara
2008,PT. KARYA TANAH SUBUR,Penggantian Sterilizer No. 2,Aceh
2008,PT. MITRA PUDING MAS,Pembangunan Oil Storage Tank dan Kernel Bulk Silo,Bengkulu
2008,PT. MULTRADA MULTI MAJU,Pembangunan New Extension Line kap. 20 TPH,Sumatera Selatan
2007,PT. PERKEBUNAN MINANGA OGAN,Pembuatan Tangki Timbun kap. 2.500 Ton,Sumatera Selatan
2007,PT. AGRO MUKO,"Pembuatan CPO Storage No. 5, 6, 7 kap. 3.000 Ton",Bengkulu
2006,PT. EKA DURA INDONESIA,Pembuatan Tangki Timbun kap. 5.000 Ton,Riau
2006,PT. SAWITA INTER PERKASA,Pembangunan PKS kap. 20 TPH,Sumatera Utara
2005,"PT. BAKRIE SUMATERA PLANTATIONS, Tbk.",Pembangunan PKS kap. 45 TPH,Sumatera Utara
2005,PT. GANDAERAH HENDANA,"Pembuatan Boiler Water Treatment, Raw Water Treatment, pondasi Boiler Apron Loading Ramp, Sludge Tank, CST, pondasi Sludge Separator, pondasi Claybath Separator, Tangki Timbun kap. 2.000 Ton",Riau
2005,PT. BINA PITRI JAYA,Pembangunan PKS kap. 40 TPH dan Vertical Sterilizer,Riau
2005,PT. TASIK RAJA,"Pembuatan Loading Ramp, Pressing Station, dan Kernel Recovery Station",Sumatera Utara
2005,PT. GANDAERAH HENDANA,Pembuatan Boiler Water Treatment dan Raw Water Treatment,Riau
2005,PT. BANGUN TENERA RIAU,"Pembuatan Vertical Sterilizer, Back Pressure Vessel, Thresher Drum, Nut Polishing Drum, dan Nut Grading Drum",Sumatera Utara
2005,"PT. BAKRIE SUMATERA PLANTATIONS, Tbk.",Earthworks PKS kap. 45 TPH,Sumatera Utara
2004,PT. SINAR ALAM PERMAI,Mekanikal Pabrik,Palembang
2004,PT. GANDAERAH HENDANA,Extension Mekanikal kap. PKS dari 30 TPH ke 60 TPH,Riau
2004,PT. BAKRIE PASAMAN PLANTATIONS,Extension Mekanikal kap. PKS dari 30 TPH ke 60 TPH,Sumatera Barat
2003,PT. PANGKATAN INDONESIA,Pembangunan PKS kap. 40 TPH,Sumatera Utara
2003,PT. MULTIMAS NABATI ASAHAN,Mekanikal Tank Farm,Kalimantan Barat
2003,PT. BUMI PRATAMA KHATULISTIWA,Mekanikal PKS kap. 30 ton TBS/jam,Kalimantan Barat
2002,PT. NINDYA KARYA,Pembuatan Tangki Timbun kap. 50.000 MT,Sumatera Utara
2002,PT. BAKRIE PASAMAN PLANTATIONS,Pembangunan Pabrik,Sumatera Barat
2002,PT. SAPTA SENTOSA JAYA ABADI,Pembuatan Water Treatment Plant dan Sterilizer,Bengkulu
2002,PT. AGRO MITRA MADANI,Pembuatan Demin Plant kap. 2x25 m3/jam dan Pembangunan Waduk Air Sungai Braso kap. 35.000 m3,Jambi
2002,PT. AGRO MITRA MADANI,Pembangunan PKS kap. 60 TPH,Jambi
2001,HUTAHEAN,Suplai Peralatan Water Treatment Plant,Riau
2001,PT. SINAR DINAMIKA KAPUAS,Peningkatan kapasitas Line 2 extension 90 TPH,Kalimantan Barat
2000,PT. INTI INDOSAWIT SUBUR,Extension kap. PKS dari 30 TPH ke 60 TPH,Jambi
2000,PT. TRIBAKTI SARIMAS,Suplai Peralatan Water Treatment Plant,Riau
